"workload","scale_factor","iterations","warmup","avg_ms","min_ms","p95_ms","max_ms","rows"
"01_baseline_count","1","3","1","60.655","59.034","63.708","63.708","1"
"02_bitmap_count","1","3","1","170.022","157.716","184.411","184.411","1"
"03_baseline_facet_shipmode","1","3","1","61.918","60.306","64.881","64.881","7"
"04_bitmap_facet_shipmode","1","3","1","239.573","232.645","248.497","248.497","7"
"05_bitmap_export_rowids","1","3","1","750.916","736.072","764.079","764.079","1"
