"workload","scale_factor","iterations","warmup","avg_ms","min_ms","p95_ms","max_ms","rows"
"01_baseline_count","1","3","1","63.602","61.699","65.389","65.389","1"
"02_bitmap_count","1","3","1","180.379","174.024","184.964","184.964","1"
"03_baseline_facet_shipmode","1","3","1","60.314","58.833","61.108","61.108","7"
"04_bitmap_facet_shipmode","1","3","1","259.12","253.694","268.879","268.879","7"
"05_bitmap_export_rowids","1","3","1","762.793","743.872","784.372","784.372","1"
