"workload","scale_factor","iterations","warmup","avg_ms","min_ms","p95_ms","max_ms","rows"
"01_baseline_count","1","3","1","64.554","60.914","68.342","68.342","1"
"02_bitmap_count","1","3","1","168.165","164.412","173.834","173.834","1"
"03_baseline_facet_shipmode","1","3","1","62.15","60.099","64.166","64.166","7"
"04_bitmap_facet_shipmode","1","3","1","250.718","242.495","264.248","264.248","7"
"05_bitmap_export_rowids","1","3","1","766.742","745.061","782.193","782.193","1"
